Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,148.56187438964844,150.51004028320312,148.11036682128906,150.50167846679688,124.28133392333984,4307633
2020-01-03,148.01004028320312,149.3812713623047,146.8478240966797,149.2056884765625,123.21113586425781,2950412
2020-01-06,148.1187286376953,149.42308044433594,147.4498291015625,149.3478240966797,123.3284912109375,2389608
2020-01-07,149.06353759765625,149.255859375,147.84280395507812,148.74581909179688,122.83139038085938,2598908
2020-01-08,148.82943725585938,151.755859375,148.5367889404297,151.02842712402344,124.71632385253906,3298927
2020-01-09,151.76422119140625,151.8311004638672,150.30101013183594,151.50502014160156,125.10990142822266,3284575
2020-01-10,151.8478240966797,152.3244171142578,150.6187286376953,150.8946533203125,124.60584259033203,2516145
2020-01-13,151.28762817382812,152.36622619628906,150.80267333984375,151.27090454101562,124.91656494140625,2500597
2020-01-14,151.27090454101562,152.63377380371094,150.67726135253906,151.64715576171875,125.22723388671875,3481795
2020-01-15,151.68896484375,152.05685424804688,149.81605529785156,150.31771850585938,124.12940979003906,2968711
2020-01-16,151.0702362060547,151.50502014160156,150.2424774169922,151.34616088867188,124.97867584228516,2571280
2020-01-17,151.33779907226562,152.29933166503906,151.0869598388672,151.63043212890625,125.21347045898438,4413360
2020-01-21,152.04849243164062,152.09866333007812,149.35618591308594,149.99163818359375,123.86017608642578,4027769
2020-01-22,150.09197998046875,150.97825622558594,148.72909545898438,148.85450744628906,122.92112731933594,2894559
2020-01-23,148.0518341064453,149.19732666015625,147.4832763671875,148.61204528808594,122.72091674804688,2820646
2020-01-24,149.2391357421875,150.34280395507812,148.43646240234375,148.95484924316406,123.00394439697266,3161148
2020-01-27,150.38461303710938,150.99497985839844,146.77256774902344,146.8478240966797,121.26405334472656,5216234
2020-01-28,143.72909545898438,144.09698486328125,138.00167846679688,138.44480895996094,114.32502746582031,10669157
2020-01-29,139.088623046875,139.18896484375,135.05853271484375,135.45150756835938,111.85319519042969,6391304
2020-01-30,134.61538696289062,135.9866180419922,132.7424774169922,135.8779296875,112.20530700683594,5211092
2020-01-31,135.45150756835938,135.99497985839844,132.29933166503906,132.6588592529297,109.54711151123047,6865399
2020-02-03,133.80435180664062,134.03846740722656,130.75250244140625,130.9281005859375,108.11785888671875,4694898
2020-02-04,133.5869598388672,133.74581909179688,131.27090454101562,131.47157287597656,108.56664276123047,5219224
2020-02-05,133.04347229003906,135.72743225097656,132.6923065185547,135.72743225097656,112.08106231689453,3729367
2020-02-06,137.533447265625,137.95986938476562,135.844482421875,136.19564819335938,112.4676742553711,4082905
2020-02-07,134.95819091796875,135.38461303710938,133.4698944091797,133.84616088867188,110.52754974365234,3272495
2020-02-10,133.95484924316406,134.83277893066406,132.83444213867188,133.90467834472656,110.57585144042969,3294741
2020-02-11,134.61538696289062,135.88629150390625,133.79598999023438,135.8277587890625,112.16389465332031,2721020
2020-02-12,137.3244171142578,137.99331665039062,136.76422119140625,136.95652770996094,113.09600830078125,3272734
2020-02-13,135.25083923339844,135.34280395507812,132.94314575195312,133.57859802246094,111.30548095703125,4083024
2020-02-14,133.65383911132812,134.73243713378906,132.7926483154297,134.62374877929688,112.1763687133789,2671266
2020-02-18,134.08026123046875,134.222412109375,132.14047241210938,132.84280395507812,110.69237518310547,2964764
2020-02-19,133.01004028320312,134.1722412109375,132.40802001953125,133.22743225097656,111.01285552978516,2746494
2020-02-20,132.94314575195312,134.94146728515625,132.52508544921875,132.57525634765625,110.46945190429688,3917020
2020-02-21,132.38294982910156,132.60032653808594,130.5351104736328,131.21237182617188,109.33381652832031,4228219
2020-02-24,129.1387939453125,129.35618591308594,127.27424621582031,127.55016326904297,106.28223419189453,4348178
2020-02-25,128.1856231689453,128.2943115234375,122.04849243164062,122.7842788696289,102.31104278564453,6295026
2020-02-26,125.05852508544922,126.9397964477539,123.8210678100586,124.54849243164062,103.78106689453125,6161912
2020-02-27,126.44648742675781,129.95819091796875,124.58193969726562,125.55184173583984,104.61711120605469,9856954
2020-02-28,128.83779907226562,131.0367889404297,122.07357788085938,124.78260803222656,103.97615051269531,13753641
2020-03-02,126.53845977783203,128.28594970703125,124.05518341064453,127.94314575195312,106.60968780517578,9599455
2020-03-03,127.45819091796875,128.76254272460938,120.76923370361328,121.43812561035156,101.18933868408203,9922614
2020-03-04,122.92642211914062,128.76254272460938,122.06521606445312,128.74581909179688,107.27853393554688,6905465
2020-03-05,126.08695983886719,129.05519104003906,125.04180908203125,126.59699249267578,105.48799896240234,7040852
2020-03-06,125.07524871826172,129.3812713623047,123.63712310791016,128.4698944091797,107.04862213134766,8557500
2020-03-09,122.56688690185547,124.966552734375,120.02508544921875,120.45150756835938,100.36721801757812,9800502
2020-03-10,124.59866333007812,128.244140625,121.13712310791016,128.17726135253906,106.80477142333984,6759433
2020-03-11,125.19230651855469,125.19230651855469,122.466552734375,123.11036682128906,102.58274841308594,5678847
2020-03-12,117.0234146118164,118.48662567138672,108.97993469238281,111.68896484375,93.06575775146484,9826097
2020-03-13,117.90133666992188,118.46990203857422,109.53177642822266,118.46154022216797,98.70906066894531,7870039
2020-03-16,108.57859802246094,113.2943115234375,107.03177642822266,109.4565200805664,91.20556640625,8899197
2020-03-17,110.3177261352539,114.35618591308594,108.36956787109375,112.40802764892578,93.66493225097656,7816338
2020-03-18,107.40802764892578,116.53009796142578,107.34949493408203,114.56521606445312,95.46244049072266,8205038
2020-03-19,115.14214324951172,117.20735931396484,111.1454849243164,114.97491455078125,95.80381774902344,7613377
2020-03-20,115.44314575195312,116.42140197753906,102.60033416748047,104.42308044433594,87.01140594482422,11468683
2020-03-23,107.15718841552734,107.35785675048828,95.3511734008789,98.55351257324219,82.12054443359375,9489423
2020-03-24,102.24916076660156,111.58026885986328,101.17057037353516,110.96990203857422,92.46659088134766,11136793
2020-03-25,111.32942962646484,112.61705780029297,106.02006530761719,109.9832763671875,91.64447784423828,9260030
2020-03-26,110.19230651855469,114.03009796142578,109.2056884765625,113.86287689208984,94.877197265625,8033532
2020-03-27,111.06187438964844,114.60702514648438,109.4565200805664,111.40467834472656,92.828857421875,5097711
2020-03-30,110.57691955566406,115.39297485351562,109.58193969726562,115.16722106933594,95.96405792236328,4627922
2020-03-31,113.45317840576172,116.58863067626953,113.44481658935547,114.1387939453125,95.10711669921875,4321985
2020-04-01,110.36788940429688,113.57859802246094,109.54013061523438,111.3210678100586,92.75922393798828,4518010
2020-04-02,110.66889953613281,115.5602035522461,110.45150756835938,115.30936431884766,96.08248901367188,4772399
2020-04-03,113.72073364257812,114.91638946533203,111.12039947509766,111.86454772949219,93.21206665039062,4291607
2020-04-06,115.2675552368164,118.10200500488281,114.46488189697266,117.64214324951172,98.02629852294922,6745081
2020-04-07,123.3277587890625,125.95317840576172,120.73578643798828,120.90300750732422,100.74343872070312,6573575
2020-04-08,121.84782409667969,125.18394470214844,120.32608795166016,124.57357788085938,103.80196380615234,3673036
2020-04-09,124.13043212890625,125.19230651855469,122.52508544921875,123.56187438964844,102.9589614868164,5721305
2020-04-13,123.3277587890625,124.23076629638672,121.48829650878906,122.40802764892578,101.99751281738281,3160191
2020-04-14,125.10033416748047,126.23745727539062,123.78762817382812,125.53511810302734,104.60317993164062,3968806
2020-04-15,123.90467834472656,124.2056884765625,121.15384674072266,121.3712387084961,101.13360595703125,3640504
2020-04-16,121.46321105957031,122.44983673095703,119.75752258300781,121.15384674072266,100.95244598388672,4987798
2020-04-17,123.27759552001953,124.16387939453125,121.07023620605469,122.45819091796875,102.039306640625,6450148
2020-04-20,121.02842712402344,122.92642211914062,120.10869598388672,120.12541961669922,100.09551239013672,3460028
2020-04-21,118.93812561035156,119.37290954589844,117.47491455078125,118.41973114013672,98.6742172241211,2787996
2020-04-22,119.86621856689453,120.80267333984375,118.48662567138672,120.07524871826172,100.0536880493164,3288522
2020-04-23,120.88629150390625,123.39464569091797,120.3010025024414,120.67726135253906,100.55533599853516,3092019
2020-04-24,121.37960052490234,123.19397735595703,120.66053771972656,122.90969848632812,102.41552734375,2687532
2020-04-27,123.74581909179688,129.1722412109375,123.65384674072266,128.4698944091797,107.04862213134766,5555300
2020-04-28,133.80435180664062,136.35450744628906,129.76588439941406,131.7809295654297,109.80754089355469,9919744
2020-04-29,132.55853271484375,133.9632110595703,129.7407989501953,130.6521759033203,108.86701965332031,4768572
2020-04-30,129.02174377441406,129.54849243164062,126.88127136230469,127.0234146118164,105.84332275390625,4386689
2020-05-01,124.83277893066406,125.45150756835938,123.52006530761719,124.24748992919922,103.53025817871094,3499974
2020-05-04,124.19732666015625,124.21405029296875,122.12374877929688,124.08026885986328,103.39091491699219,2666841
2020-05-05,125.32608795166016,125.41806030273438,122.9933090209961,123.26923370361328,102.7151107788086,2713963
2020-05-06,123.57023620605469,123.8879623413086,122.06521606445312,122.24080657958984,101.85816192626953,2593646
2020-05-07,123.49497985839844,123.62039947509766,121.15384674072266,121.85618591308594,101.5376968383789,3349757
2020-05-08,122.9765853881836,124.7324447631836,122.39130401611328,124.1722412109375,103.4675521850586,2594961
2020-05-11,123.59532165527344,123.71237182617188,121.73076629638672,121.84782409667969,101.53071594238281,3629382
2020-05-12,122.533447265625,123.09364318847656,118.26923370361328,118.3277587890625,98.59759521484375,3623880
2020-05-13,117.65050506591797,117.66722106933594,112.87625122070312,113.81270599365234,94.83538055419922,5747976
2020-05-14,112.87625122070312,113.8377914428711,109.63211059570312,113.70401000976562,94.74481201171875,7053649
2020-05-15,112.4832763671875,116.1120376586914,112.20735931396484,115.96154022216797,96.62592315673828,12095985
2020-05-18,119.6989974975586,125.18394470214844,119.155517578125,124.80769348144531,103.99703979492188,7196452
2020-05-19,124.16387939453125,126.79766082763672,123.21906280517578,124.06354522705078,103.37698364257812,4855640
2020-05-20,125.30936431884766,126.61370849609375,124.4397964477539,125.15050506591797,104.28271484375,4100845
2020-05-21,123.52842712402344,124.28093719482422,121.52173614501953,121.91471862792969,102.59403228759766,3335764
2020-05-22,121.85618591308594,122.60869598388672,120.90300750732422,122.44147491455078,103.03731536865234,3183034
2020-05-26,125.77759552001953,127.90969848632812,124.74916076660156,127.15718841552734,107.00569915771484,5521095
2020-05-27,128.75418090820312,132.2407989501953,128.21070861816406,132.23243713378906,111.2766342163086,7243335
